"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-07","Jul-2023","IDX","Index","0","Units","2010_100","2010=100",101.7667,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-08","Aug-2023","IDX","Index","0","Units","2010_100","2010=100",99.47717,,
"CCRETT01","Relative consumer price indices","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",103.6764,,
"CCRETT01","Relative consumer price indices","AUT","Austria","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",103.9106,,
"CCRETT01","Relative consumer price indices","AUT","Austria","A","Annual","2022","2022","IDX","Index","0","Units","2010_100","2010=100",103.3351,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2010_100","2010=100",102.3194,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2010_100","2010=100",103.0986,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2010_100","2010=100",104.1575,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2010_100","2010=100",105.13,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2010_100","2010=100",104.0272,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2010_100","2010=100",104.0783,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2010_100","2010=100",103.7421,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2010_100","2010=100",103.7947,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2010_100","2010=100",103.2747,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2010_100","2010=100",102.9074,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2010_100","2010=100",103.1443,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2010_100","2010=100",104.0139,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2010_100","2010=100",104.3899,,
"CCRETT01","Relative consumer price indices","AUT","Austria","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2010_100","2010=100",104.9725,,
"CCRETT01","Relative consumer price indices","AUT","Austria","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",102.0327,,
"CCRETT01","Relative consumer price indices","AUT","Austria","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",101.7552,,
"CCRETT01","Relative consumer price indices","AUT","Austria","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",103.1702,,
"CCRETT01","Relative consumer price indices","AUT","Austria","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",103.4621,,
